team,turnovers,blocks,home_team,home_score,away_team,away_score,completions,total_passes,o_line_scores,o_line_points,o_line_posessions,d_line_scores,d_line_points,d_line_posessions,rz_scores,rz_posessions,huck_completions,huck_attempts,season,is_home_team
Breeze,24,7,DC,23,NY,31,268,292,18,34,39,5,25,10,,,,,2014,True
Empire,16,12,DC,23,NY,31,235,251,18,25,29,13,33,21,,,,,2014,False
Royal,32,15,TOR,19,MTL,20,181,213,11,21,35,9,22,20,,,,,2014,False
Rush,30,15,TOR,19,MTL,20,260,290,10,22,30,9,21,20,,,,,2014,True
Mechanix,29,17,CIN,24,DET,20,21,50,17,26,39,3,22,13,,,,,2014,False
Revolution,25,16,CIN,24,DET,20,214,239,16,22,30,8,26,21,,,,,2014,True
Cascades,27,12,VAN,28,SEA,26,234,261,19,30,37,7,28,19,,,,,2014,False
Riptide,25,15,VAN,28,SEA,26,257,282,18,28,38,10,30,17,,,,,2014,True
Empire,28,15,NY,21,DC,13,229,257,9,15,25,12,23,26,,,,,2014,True
Breeze,35,9,NY,21,DC,13,272,307,10,23,38,3,15,11,,,,,2014,False
FlameThrowers,36,14,SF,23,VAN,18,258,294,13,20,35,10,25,25,,,,,2014,True
Riptide,41,22,SF,23,VAN,18,208,249,13,25,39,5,20,21,,,,,2014,False
Dragons,26,8,ROC,20,TOR,29,232,258,18,31,39,2,22,8,,,,,2014,True
Rush,17,14,ROC,20,TOR,29,346,363,19,22,28,10,31,20,,,,,2014,False
Lions,42,8,SJ,37,SLC,12,365,407,11,39,49,1,14,5,,,,,2014,False
Spiders,15,21,SJ,37,SLC,12,225,240,13,14,18,24,39,38,,,,,2014,True
Mechanix,47,10,MAD,28,DET,9,162,209,7,30,51,2,11,9,,,,,2014,False
Radicals,32,30,MAD,28,DET,9,249,281,8,11,21,20,30,40,,,,,2014,True
Royal,25,5,MTL,20,DC,29,248,273,12,31,36,8,22,12,,,,,2014,True
Breeze,16,16,MTL,20,DC,29,276,292,14,22,26,15,31,23,,,,,2014,False
Union,28,17,CHI,21,CIN,11,294,322,12,13,22,9,23,31,,,,,2014,True
Revolution,40,14,CHI,21,CIN,11,51,91,10,23,44,1,13,8,,,,,2014,False
Wind Chill,15,30,MIN,42,DET,16,284,299,15,18,22,27,44,38,,,,,2014,True
Mechanix,43,5,MIN,42,DET,16,300,343,13,44,55,3,18,8,,,,,2014,False
AlleyCats,16,18,IND,29,CIN,15,235,251,16,17,21,13,31,27,,,,,2014,True
Revolution,31,9,IND,29,CIN,15,96,127,15,31,44,0,17,3,,,,,2014,False
Cascades,24,8,SEA,14,SJ,22,254,278,12,24,31,2,16,9,,,,,2014,True
